mep,epid,group,country,lobbyists,dossier,committees,role,title,location,date
Agnes JONGERIUS,125021,S&D,Netherlands,Deutscher Gewerkschaftbund (DGB,,,Member,Breakfast event to discuss the practical requirements for the ESF+,European Parliament,11/09/2019
Agnes JONGERIUS,125021,S&D,Netherlands,"Representatives of European Federation of Trade Unions in the Food, Agriculture and Tourism",,,Member,"The biggest social and environmental challenges for agriculture, food, tourism, domestic and platform worker in the years to come.",European Economic and Social Comittee (EESC),11/09/2019
Karima DELLI,96868,Greens / EFA,France,ECSA,['oui 2019/2193/INI Réunion faite par Aude Labaste (collaboratrice de Karima Delli dans le cadre du rapport INI)'],['TRAN'],Committee chair,Maritime,visioconférence,30/09/2020
Karima DELLI,96868,Greens / EFA,France,ESPO,['oui 2019/2193/INI Réunion faite par Aude Labaste (collaboratrice de Karima Delli dans le cadre du rapport INI)'],['TRAN'],Committee chair,Maritime,visioconférence,30/09/2020
Karima DELLI,96868,Greens / EFA,France,Maritime,['oui 2019/2193/INI'],['TRAN'],Committee chair,Port d'Anvers,visioconférence,29/09/2020
Karima DELLI,96868,Greens / EFA,France,Port du Havre - Haropa,['OUI 2019/2193/INI'],['TRAN'],Committee chair,Maritime,LE HAVRE,31/07/2020
Karima DELLI,96868,Greens / EFA,France,AUTOTECH,['NON'],['TRAN'],Committee chair,voiture électrique,visioconférence,17/07/2020
Karima DELLI,96868,Greens / EFA,France,FBF,['NON'],['TRAN'],Committee chair,Financement transition écologique,visioconférence,10/07/2020
Karima DELLI,96868,Greens / EFA,France,NECSTOUR,['non'],['TRAN'],Committee chair,Tourisme,visioconférence,09/07/2020
Karima DELLI,96868,Greens / EFA,France,RailCoop,['non'],['TRAN'],Committee chair,rail,webinair,01/07/2020
Karima DELLI,96868,Greens / EFA,France,UMEP,['non'],['TRAN'],Committee chair,maritime,visioconférence,10/06/2020
Karima DELLI,96868,Greens / EFA,France,TRANSDEV,['non'],['TRAN'],Committee chair,ferroviaire,rdv téléphonique,03/06/2020
Karima DELLI,96868,Greens / EFA,France,SURFRIDER,['OUI 2019/2193/INI'],['TRAN'],Committee chair,Maritime,visio conférence,03/06/2020
Karima DELLI,96868,Greens / EFA,France,Railways,['non'],['TRAN'],Committee chair,ferroviaire,visio conférence,26/05/2020
Karima DELLI,96868,Greens / EFA,France,UITP,['non'],['TRAN'],Committee chair,Transport public,visio conférence,26/05/2020
Karima DELLI,96868,Greens / EFA,France,ShiftRail,['non'],['TRAN'],Committee chair,ferroviaire,rdv téléphonique,20/05/2020
Karima DELLI,96868,Greens / EFA,France,RailCoop,['non'],['TRAN'],Committee chair,ferroviaire,visio conférence,19/05/2020
Karima DELLI,96868,Greens / EFA,France,EXPEDIA,['non'],['TRAN'],Committee chair,Tourisme,visio conférence,19/05/2020
Karima DELLI,96868,Greens / EFA,France,RAIL AGENCY,['non'],['TRAN'],Committee chair,ferroviaire,visio conférence,13/05/2020
Karima DELLI,96868,Greens / EFA,France,HOTREC,['non'],['TRAN'],Committee chair,Tourisle,visio conférence,08/05/2020
Karima DELLI,96868,Greens / EFA,France,RAIL FREIGHT,['non'],['TRAN'],Committee chair,ferroviaire,visio conférence,05/05/2020
Karima DELLI,96868,Greens / EFA,France,AIR FRANCE,['non'],['TRAN'],Committee chair,Aérien,rdv téléphonique,27/04/2020
Karima DELLI,96868,Greens / EFA,France,EIM Association of Rail Infrastructure Managers,['non'],['TRAN'],Committee chair,ferroviaire,rdv téléphonique,23/04/2020
Karima DELLI,96868,Greens / EFA,France,TRANSDEV,['non'],['TRAN'],Committee chair,ferroviaire,visio conférence,09/04/2020
Karima DELLI,96868,Greens / EFA,France,EUROPCAR,['non'],['TRAN'],Committee chair,Transport,visio conférence,07/04/2020
Karima DELLI,96868,Greens / EFA,France,FRANCE CLUSTERS,['non'],['TRAN'],Committee chair,Environnement,visio conférence,02/04/2020
Karima DELLI,96868,Greens / EFA,France,FNTR,['non'],['TRAN'],Committee chair,Transport routier,rdv téléphonique,31/03/2020
Karima DELLI,96868,Greens / EFA,France,CPP Communauté Portuaire de Paris,['non'],['TRAN'],Committee chair,transport fluvial,visio conférence,27/03/2020
Karima DELLI,96868,Greens / EFA,France,ECF,['non'],['TRAN'],Committee chair,ferroviaire,rdv téléphonique,25/03/2020
Karima DELLI,96868,Greens / EFA,France,ARCTURUS GROUP,['non'],['TRAN'],Committee chair,ferroviaire,rdv téléphonique,25/03/2020
Karima DELLI,96868,Greens / EFA,France,ETSC Board,['non'],['TRAN'],Committee chair,sécurité transport,visio conférence,25/03/2020
Karima DELLI,96868,Greens / EFA,France,ESPO European Sea Ports Organisation,['non'],['TRAN'],Committee chair,Maritime,rdv téléphonique,24/03/2020
Karima DELLI,96868,Greens / EFA,France,Wind-ship Association,['OUI 2019/2193/INI'],['TRAN'],Committee chair,Maritime,rdv téléphonique,24/03/2020
Karima DELLI,96868,Greens / EFA,France,ANUCSA,['non'],['TRAN'],Committee chair,Maritime,rdv téléphonique,20/03/2020
Karima DELLI,96868,Greens / EFA,France,CNR,['non'],['TRAN'],Committee chair,Transport fluvial,conférence téléphonique,20/03/2020
Karima DELLI,96868,Greens / EFA,France,Tilder,['non'],['TRAN'],Committee chair,Maritime,Paris,06/03/2020
Karima DELLI,96868,Greens / EFA,France,TILDER,['non'],['TRAN'],Committee chair,Maritime,Paris,06/03/2020
Karima DELLI,96868,Greens / EFA,France,Feport,['non'],['TRAN'],Committee chair,Maritime,Bruxelles,05/02/2020
Karima DELLI,96868,Greens / EFA,France,European Year of Railways,['non'],['TRAN'],Committee chair,Rail,Bruxelles,05/02/2020
Karima DELLI,96868,Greens / EFA,France,EBB,['no'],['TRAN'],Committee chair,Qualité de l'air,Bruxelles,28/01/2020
Karima DELLI,96868,Greens / EFA,France,CS MARE,['no'],['TRAN'],Committee chair,SECA in Mediaterranean,Bruxelles,28/01/2020
Karima DELLI,96868,Greens / EFA,France,CPMR (Conférence des Régions Périphériques Maritime- Assoc),['no'],['TRAN'],Committee chair,Maritime,Bruxelles,22/01/2020
Karima DELLI,96868,Greens / EFA,France,Armateurs de France,['no'],['TRAN'],Committee chair,Maritime,Bruxelles,14/01/2020
Karima DELLI,96868,Greens / EFA,France,Alstom,['no'],['TRAN'],Committee chair,Rail,Bruxelles,14/01/2020
Karima DELLI,96868,Greens / EFA,France,EBBA,['NO'],['TRAN'],Committee chair,Aviation,BRUXELLES,07/01/2020
Karima DELLI,96868,Greens / EFA,France,BEUC,['NO'],['TRAN'],Committee chair,DROIT PASSAGERS FERROVIERES - INDUSTRIE AUTOMOBILE,BRUXELLES,07/01/2020
Karima DELLI,96868,Greens / EFA,France,Autorità di Regolazione dei Trasporti,['NO'],['TRAN'],Committee chair,TRANSPORT,STRASBOURG,17/12/2019
Karima DELLI,96868,Greens / EFA,France,OBB,['NO'],['TRAN'],Committee chair,TRAIN DE NUIT,BRUXELLES,11/12/2019
Karima DELLI,96868,Greens / EFA,France,ACEA,['NO'],['TRAN'],Committee chair,Automobile,Bruxelles,10/12/2019
Karima DELLI,96868,Greens / EFA,France,Mobilité,['NO'],['TRAN'],Committee chair,ECO LOGISTIQUE,PARIS,06/12/2019
Karima DELLI,96868,Greens / EFA,France,FNTV,['NO'],['TRAN'],Committee chair,Transports de Voyageurs,PARIS,06/12/2019
Karima DELLI,96868,Greens / EFA,France,AIRLINES,['NO'],['TRAN'],Committee chair,AVIATION,BRUXELLES,04/12/2019
Karima DELLI,96868,Greens / EFA,France,EASA,['NO'],['TRAN'],Committee chair,AVIATION,BRUXELLES,04/12/2019
Karima DELLI,96868,Greens / EFA,France,EPPA,['NO'],['TRAN'],Committee chair,Energie/Transport,Bruxelles,02/12/2019
Karima DELLI,96868,Greens / EFA,France,HAROPA,['NO'],['TRAN'],Committee chair,Maritime,BRUXELLES,20/11/2019
Karima DELLI,96868,Greens / EFA,France,CLEAN SKY,['NO'],['TRAN'],Committee chair,aviation,Bruxelles,12/11/2019
Karima DELLI,96868,Greens / EFA,France,Austrian Federal Railways,['NO'],['TRAN'],Committee chair,Rail,BRUXELLES,12/11/2019
Karima DELLI,96868,Greens / EFA,France,Agence Magnussen,['no'],['TRAN'],Committee chair,SMART MOLITY/TRANSPORT,PARIS,31/10/2019
Karima DELLI,96868,Greens / EFA,France,REUNIR,['no'],['TRAN'],Committee chair,TRANSPORT,PARIS,31/10/2019
Karima DELLI,96868,Greens / EFA,France,EUROPE SERVICE,['NO'],['TRAN'],Committee chair,Maritime,LE HAVRE,25/10/2019
Karima DELLI,96868,Greens / EFA,France,BMVI Federal Ministry Transport,['NO'],['TRAN'],Committee chair,Transport,Strasbourg,24/10/2019
Karima DELLI,96868,Greens / EFA,France,EUROSTAR,['NO'],['TRAN'],Committee chair,Ferroviaire,Strasbourg,23/10/2019
Karima DELLI,96868,Greens / EFA,France,RENAULT TRUCKS,['NO'],['TRAN'],Committee chair,Transport marchandises,Strasbourg,22/10/2019
Karima DELLI,96868,Greens / EFA,France,"LD, Philippe Louis Dreyfus",['none'],['TRAN'],Committee chair,Maritime,Paris,25/09/2019
Karima DELLI,96868,Greens / EFA,France,Corsica Linea,['none'],['TRAN'],Committee chair,Maritime,Paris,25/09/2019
Karima DELLI,96868,Greens / EFA,France,Bpifrance,['none'],['TRAN'],Committee chair,ENJEUX EUROPEENS DES BANQUES PUBLICS,STRASBOURG,18/09/2019
Karima DELLI,96868,Greens / EFA,France,WIMOOV,['none'],['TRAN'],Committee chair,MOBILITE INCLUSIVE,PARIS,06/09/2019
Karima DELLI,96868,Greens / EFA,France,SNCF,['none'],['TRAN'],Committee chair,FRET,PARIS,05/09/2019
Karima DELLI,96868,Greens / EFA,France,"EUROPCAR MOBILITY GROUP, Jehan de Thé",['none'],['TRAN'],Committee chair,MOBILITE,PARIS,28/08/2019
Martina MICHELS,120478,GUE / NGL,Germany,Zero Waste Europe,['European Regional Development Fund'],['REGI'],Shadow rapporteur,"circular economy, waste treatment",written exchange,29/10/2020
Martina MICHELS,120478,GUE / NGL,Germany,WWF,"['European Regional Development Fund, Just Transition Fund']",['REGI'],Shadow rapporteur,EU energy policy,written exchange,28/10/2020
Martina MICHELS,120478,GUE / NGL,Germany,"Rosa Luxemburg Foundation Brussels office, Rosa Luxemburg Foundation Israel office",,,Member,Current developments in Israel,Video meeting,07/10/2020
Martina MICHELS,120478,GUE / NGL,Germany,Evangelische Schule Berlin Zentrum,[''],['REGI'],Member,Schulprojekttag Zukunftswerkstatt Regionen in Europa,Berlin,07/10/2020
Martina MICHELS,120478,GUE / NGL,Germany,Rosa Luxemburg Stiftung Bayern,,,Member,EU responses to the Corona crisis,Webinar,01/10/2020
Martina MICHELS,120478,GUE / NGL,Germany,EPRC,"['Just Transition Fund, REACT-EU, European Fund for Regional Development']",['REGI'],Shadow rapporteur,"Implementation if EU cohesion policy, use of EU structural funds during crisis",Video meeting,02/09/2020
Martina MICHELS,120478,GUE / NGL,Germany,"WWF, EEB, CAN",['Just Transition Fund'],['REGI'],Shadow rapporteur,Just transition,Written exchange,06/07/2020
Martina MICHELS,120478,GUE / NGL,Germany,German Permanent Representation EU,,,Member,German Council presidency,Video conference,30/06/2020
Martina MICHELS,120478,GUE / NGL,Germany,Rosa Luxemburg Foundation,,,Member,EU and DE relations with Israel,Video conference,23/06/2020
Martina MICHELS,120478,GUE / NGL,Germany,Zentrum fuer internationalen Dialog - Rosa-Luxemburg-Stiftung,,,Member,EU Foreign Policy,Video conference,23/06/2020
Martina MICHELS,120478,GUE / NGL,Germany,Government of Berlin region,[''],['REGI'],Member,Preparation of regional policy exhibition,Video conference,25/05/2020
Martina MICHELS,120478,GUE / NGL,Germany,"BAGFW, DGB",['Just Transition Fund'],['REGI'],Shadow rapporteur,"Just transition funds, ESF+",Written exchange,18/05/2020
Martina MICHELS,120478,GUE / NGL,Germany,Deutscher Naturschutzring,['European Climate Law (opinion)'],['REGI'],Shadow rapporteur,European climate law,Written exchange,13/05/2020
Martina MICHELS,120478,GUE / NGL,Germany,Mobilitaetswen.de,['European Year of Rail 2021 (opinion)'],['REGI'],Rapporteur,European Year of Rail 2021,Video conference,12/05/2020
Martina MICHELS,120478,GUE / NGL,Germany,FEANTSA,['Just Transition Fund'],['REGI'],Shadow rapporteur,"Cohesion policy, Just transition fund",Written exchange,23/04/2020
Martina MICHELS,120478,GUE / NGL,Germany,MP of the German Bundestag (national parliament),['European Year of Rail 2021 (opinion)'],['REGI'],Rapporteur,"Cohesion policy, European Year of Rail2021,",Video conference,27/03/2020
Martina MICHELS,120478,GUE / NGL,Germany,"Abiturienten und Lehrkräfte Gottfried-Keller-Gymnasium, Berlin",,,Member,"Parlamentsarbeit, Urheberrecht/Digitales, Kulturpolitik",Berlin,02/03/2020
Martina MICHELS,120478,GUE / NGL,Germany,CEE Bankwatch,['The European Regional Development Fund and the Cohesion Fund'],['REGI'],Shadow rapporteur,"Cohesion policy, MFF",Brussels,19/02/2020
Martina MICHELS,120478,GUE / NGL,Germany,Rosa Luxemburg Foundation,,,Member,Political priorities 2020,Brussels,18/02/2020
Martina MICHELS,120478,GUE / NGL,Germany,Zero Waste Europe,['Just Transition Fund'],['REGI'],Shadow rapporteur,"EU energy, waste and cohesion policy",Brussels,03/02/2020
Martina MICHELS,120478,GUE / NGL,Germany,"EU Commission, CPMR, WWF, EPSU, local, regional and national elected representatives",['Just Transition Fund'],['REGI'],Shadow rapporteur,GUE/NGL conference on the Just Transition Fund,Brussels,29/01/2020
Martina MICHELS,120478,GUE / NGL,Germany,Back on Track,['European Year of Rail 2021 (opinion)'],['REGI'],Rapporteur,Re-/introduction of night trains,Brussels,28/01/2020
Martina MICHELS,120478,GUE / NGL,Germany,"UNRISD, Rosa Luxemburg Foundation international",['Just Transition Fund'],['REGI'],Shadow rapporteur,Financing Just Transitions,Webinar,10/11/2020
Kati PIRI,37229,S&D,Netherlands,members of advisory board European Partnership for Democracy,,,Member,General meeting of advisory board European Partnership for Democracy,Online,19/05/2020
Anne SANDER,24594,EPP,France,FNSEA,['CAP reform package'],['AGRI'],Shadow rapporteur,CAP reform,Paris,24/02/2020
Anne SANDER,24594,EPP,France,CNIEL,['CAP reform package'],['AGRI'],Shadow rapporteur,CAP reform,Paris,24/02/2020
Anne SANDER,24594,EPP,France,"Chambres d'Agriculture du Massif Central, SIDAM",['CAP reform package'],['AGRI'],Shadow rapporteur,CAP reform,Paris,24/02/2020
Anne SANDER,24594,EPP,France,Aviculteurs de France,['CAP reform package'],['AGRI'],Shadow rapporteur,CAP reform,Paris,24/02/2020
Anne SANDER,24594,EPP,France,Jeunes Agriculteurs,['CAP reform package'],['AGRI'],Shadow rapporteur,CAP reform,Paris,24/02/2020
Anne SANDER,24594,EPP,France,La Coopération Agricole,['CAP reform package'],['AGRI'],Shadow rapporteur,CAP reform,Paris,24/02/2020
Anne SANDER,24594,EPP,France,ACTA,['CAP reform package'],['AGRI'],Shadow rapporteur,CAP reform,Paris,24/02/2020
Anne SANDER,24594,EPP,France,APCA,['CAP reform package'],['AGRI'],Shadow rapporteur,CAP reform,Paris,24/02/2020
Anne SANDER,24594,EPP,France,CUMA de Nouvelle-Aquitaine et Occitanie,['CAP reform package'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,18/02/2020
Anne SANDER,24594,EPP,France,Académie d’agriculture,['CAP reform package'],['AGRI'],Shadow rapporteur,CAP reform,Paris,05/02/2020
Anne SANDER,24594,EPP,France,Confédération paysanne,['CAP reform package'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,29/01/2020
Anne SANDER,24594,EPP,France,CLIAA - Comité de Liaison des Interprofessions Agricoles et Agroalimentaires,['CAP reform package'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,28/01/2020
Anne SANDER,24594,EPP,France,FDSEA Haut Rhin,['CAP reform package'],['AGRI'],Shadow rapporteur,CAP reform,Alsace,24/01/2020
Anne SANDER,24594,EPP,France,FDSEA Bas Rhin,['CAP reform package'],['AGRI'],Shadow rapporteur,CAP reform,Alsace,13/01/2020
Anne SANDER,24594,EPP,France,FNSEA,['CAP reform'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,08/01/2020
Anne SANDER,24594,EPP,France,"CEFS, EFFAT",['CAP reform'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,08/01/2020
Anne SANDER,24594,EPP,France,"CEVI, Vignerons indépendants",['CAP reform'],['AGRI'],Shadow rapporteur,EU wine policy,Brussels,08/01/2020
Anne SANDER,24594,EPP,France,Chambre d’agriculture de l’Eure,['CAP reform'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,13/11/2019
Anne SANDER,24594,EPP,France,FELCOOP,['CAP reform'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,13/11/2019
Anne SANDER,24594,EPP,France,Entrepreneurs du territoires,['CAP reform'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,12/11/2019
Anne SANDER,24594,EPP,France,"EFOW, CNAOC",['CAP reform'],['AGRI'],Shadow rapporteur,EU wine policy,Brussels,12/11/2019
Anne SANDER,24594,EPP,France,GNIS,['CAP reform'],['AGRI'],Shadow rapporteur,CAP,Brussels,05/11/2019
Anne SANDER,24594,EPP,France,OrIGn,['CAP reform'],['AGRI'],Shadow rapporteur,Quality Policy,Brussels,05/11/2019
Anne SANDER,24594,EPP,France,APEB,['CAP reform'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,10/10/2019
Anne SANDER,24594,EPP,France,Terreos,['CAP reform'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,10/10/2019
Anne SANDER,24594,EPP,France,INTERFEL,['CAP reform'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,09/10/2019
Anne SANDER,24594,EPP,France,Syndicat du Sucre de la Réunion,['CAP reform'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,09/10/2019
Anne SANDER,24594,EPP,France,UNITAB,['CAp reform'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,09/10/2019
Anne SANDER,24594,EPP,France,CNIV,['CAP reform'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,09/10/2019
Anne SANDER,24594,EPP,France,"AGPB, AGPM, CGB, FOP",['CAP reform'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,24/09/2019
Anne SANDER,24594,EPP,France,FCD,['CAP reform'],['AGRI'],Shadow rapporteur,CAP reform,Brussels,24/09/2019
Anne SANDER,24594,EPP,France,"oriGIn, EFOW",['CAP reform'],['AGRI'],Shadow rapporteur,EU Food Quality and Wine policy,Brussels,10/09/2019
Jens GEIER,96833,S&D,Germany,Verbraucherzentrale Bundesverband,['Opinion on INI on Towards a WTO-compatible EU carbon border adjustment mechanism'],['ITRE'],Rapporteur,Carbon Border Adjustment,Virtual Meeting,15/10/2020
Jens GEIER,96833,S&D,Germany,EIT InnoEnergy,['INI on European Strategy for Hydrogen'],['ITRE'],Rapporteur,European Hydrogen Strategy,Virtual Meeting,14/10/2020
Jens GEIER,96833,S&D,Germany,Bundesverband der Energie- und Wasserwirtschaft,['INI on European Strategy for Hydrogen'],['ITRE'],Rapporteur,European Hydrogen Strategy,Virtual Meeting,08/10/2020
Jens GEIER,96833,S&D,Germany,Verband der Chemischen Industrie,['INI on European Strategy for Hydrogen'],['ITRE'],Rapporteur,European Hydrogen Strategy,Virtual Meeting,07/10/2020
Jens GEIER,96833,S&D,Germany,Hydrogen Europe,['INI on European Strategy for Hydrogen'],['ITRE'],Rapporteur,European Hydrogen Stragey,Virtual Meeting,30/09/2020
Jens GEIER,96833,S&D,Germany,European Commission,['INI on European Strategy for Hydrogen'],['ITRE'],Rapporteur,European Hydrogen Strategy,Virtual Meeting,25/09/2020
Jens GEIER,96833,S&D,Germany,FCH Joint Undertaking,['INI on European Strategy for Hydrogen'],['ITRE'],Rapporteur,European Hydrogen Strategy,Virtual Meeting,22/09/2020
Jens GEIER,96833,S&D,Germany,Climate Citizens Initiative,['INI on European Strategy for Hydrogen'],['ITRE'],Rapporteur,European Hydrogen Strategy,Virtual Meeting,17/09/2020
Jens GEIER,96833,S&D,Germany,Sandbag,['INI on European Strategy for Hydrogen'],['ITRE'],Rapporteur,European Hydrogen Strategy,Virtual Meeting,17/09/2020
Jens GEIER,96833,S&D,Germany,Eurogas,['INI on European Strategy for Hydrogen'],['ITRE'],Rapporteur,European Hydrogen Strategy,Virtual Meeting,16/09/2020
Jens GEIER,96833,S&D,Germany,Bundesverband Erneuerbare Energie e.V. (German Renewable Energy Federation),[''],['ITRE'],Member,Exchange of views on climate and industrial policies,"European Parliament, Brussels",10/09/2020
Jens GEIER,96833,S&D,Germany,Foundation for Progressive Studies,[''],['BUDG'],Member,MFF and Recovery Fund,"FEPS, Brussels",07/07/2020
Jens GEIER,96833,S&D,Germany,caritas,[''],['BUDG'],Member,MFF and Recovery Plan,Brussels (virtual meeting),10/06/2020
Jens GEIER,96833,S&D,Germany,Environment Committee of Wirtschaftsvereinigung Stahl,[''],['ITRE'],Member,Exchange on environment and climate policy,Virtual Meeting,04/06/2020
Jens GEIER,96833,S&D,Germany,Bundesverband deutscher Wohnungs- und Immobilienunternehmen e.V. (GdW),[''],['ITRE'],Member,"Invest EU, energy efficiency of buildings",Phone call,04/06/2020
Jens GEIER,96833,S&D,Germany,Verband Deutscher Maschinen- und Anlagenbau e. V. (VDMA),[''],['ITRE'],Member,General Exchange of views,Virtual Meeting,26/05/2020
Jens GEIER,96833,S&D,Germany,Verband der Automobilindustrie (VdA),[''],['ITRE'],Member,Impact of COVID-19 on the car industry,Virtual Meeting,11/05/2020
Jens GEIER,96833,S&D,Germany,German Development Institute (DIE),['Multiannual Financial Framework 2021-2027'],['BUDG'],Member,Multiannual Financial Framework and Development Policy,"European Parliament, Brussels",15/04/2020
Jens GEIER,96833,S&D,Germany,Auswärtiges Amt,,,Member,General Exchange of views,"Berlin, Auswärtiges Amt",03/03/2020
Jens GEIER,96833,S&D,Germany,Bürgerlobby Klimaschutz,[''],['ITRE'],Member,Climate policy,"European Parliament, Brussels",20/02/2020
Jens GEIER,96833,S&D,Germany,European Union Agency for Cybersecurity (ENISA),"['Establishing the European Cybersecurity Industrial, Technology and Research Competence Centre and the Network of National Coordination Centres']",['ITRE'],Shadow rapporteur,Establishment of the Cybersecurity Competence Centre,"European Parliament, Brussels",20/02/2020
Jens GEIER,96833,S&D,Germany,European Federation of Local Energy Companies,[''],['ITRE'],Member,General Exchange of views,"European Parliament, Brussels",19/02/2020
Jens GEIER,96833,S&D,Germany,RVR Ruhr,,,Member,General exchange of views,"European Parliament, Brussels",18/02/2020
Jens GEIER,96833,S&D,Germany,Deutscher Städtetag,[''],['ITRE'],Member,General exchange of views,"European Parliament, Brussels",05/02/2020
Jens GEIER,96833,S&D,Germany,Vonovia,[''],['ITRE'],Member,General exchange of views,"European Parliament, Brussels",04/02/2020
Jens GEIER,96833,S&D,Germany,IHK Nord-Westfalen,,,Member,"Green New Deal, Just Transition Fund, MFF","European Parliament, Brussels",23/01/2020
Jens GEIER,96833,S&D,Germany,Bundesverband der Deutschen Industrie,[''],['ITRE'],Member,General exchange of views,"European Parliament, Brussels",08/01/2020
Jens GEIER,96833,S&D,Germany,"European Commission, DG Internal Market, Industry, Entrepreneurship and SMEs",[''],['ITRE'],Member,Exchange of view on European long-term industrial strategy,"European Parliament, Brussels",07/01/2020
Jens GEIER,96833,S&D,Germany,ArcelorMittal,[''],['ITRE'],Member,Exchange of views on decarbonisation of the steel industry,"European Parliament, Brussels",07/01/2020
Jens GEIER,96833,S&D,Germany,RWE AG,,,Member,Exchange of views on the transformation of the German energy industry,"Sofitel Hotel, Place Jourdan, Brussels",10/12/2019
Jens GEIER,96833,S&D,Germany,German Foreign Federal Office,['Multiannual Financial Framework 2021-2027'],['BUDG'],Member,MFF negotiations,"European Parliament, Brussels",09/12/2019
Jens GEIER,96833,S&D,Germany,Bundesministerium für Wirtschaft und Energie,[''],['ITRE'],Member,Exchange of views on energy policy,"European Parliament, Brussels",04/12/2019
Jens GEIER,96833,S&D,Germany,Wintershall Dea GmbH,[''],['ITRE'],Member,Exchange of views on natural gas,"European Parliament, Strasbourg",27/11/2019
Jens GEIER,96833,S&D,Germany,German Federal Ministry of Justice,,,Member,German Council presidency,"European Parliament, Brussels",20/11/2019
Jens GEIER,96833,S&D,Germany,Deutscher Gewerkschaftsbund,,,Member,General exchange of views,"European Parliament, Brussels",19/11/2019
Jens GEIER,96833,S&D,Germany,Ständige Vertretung der Bundesrepublik Deutschland bei der Europäischen Union,[''],['ITRE'],Member,Exchange of views on energy policy,"European Parliament, Brussels",12/11/2019
Jens GEIER,96833,S&D,Germany,German Federal Finance Ministry,[''],['BUDG'],Member,Negotiations of the MFF and Own Resources,"Europa Building, Council of the EU, Brussels",07/11/2019
Jens GEIER,96833,S&D,Germany,"Bundesministerium des Innern, für Bau und Heimat","['Establishing the European Cybersecurity Industrial, Technology and Research Competence Centre and the Network of National Coordination Centres']",['ITRE'],Shadow rapporteur,Cybersecurity Competence Centre,"European Parliament, Brussels",06/11/2019
Jens GEIER,96833,S&D,Germany,Fusion for Energy,,,Member,General exchange of views,"European Parliament, Brussels",05/11/2019
Jens GEIER,96833,S&D,Germany,Gesamtverband der Aluminiumindustrie e.V.,[''],['ITRE'],Member,Energy and industry policy,"European Parliament, Brussels",04/11/2019
Jens GEIER,96833,S&D,Germany,Deutscher Gewerkschaftsbund,,,Member,General exchange of views,"European Parliament, Strasbourg",23/10/2019
Jens GEIER,96833,S&D,Germany,"CLEPA, the European Association of Automotive Suppliers",[''],['ITRE'],Member,General exchange of views,"European Parliament, Strasbourg",22/10/2019
Jens GEIER,96833,S&D,Germany,United Nations Relief and Works Agency (UNRWA),[''],['BUDG'],Member,General exchange of Views,"European Parliament, Brussels",17/10/2019
Jens GEIER,96833,S&D,Germany,Wiener Stadtwerke GmbH,[''],['ITRE'],Member,General Exchange of views,"European Parliament, Brussels",16/10/2019
Jens GEIER,96833,S&D,Germany,Verband kommunaler Unternehmen e.V.,[''],['ITRE'],Member,Exchange of views on energy and climate policy,"European Parliament, Brussels",01/10/2019
Jens GEIER,96833,S&D,Germany,Landesvertretung NRW,[''],['ITRE'],Member,Exchange of views on science and reserach policy,"European Parliament, Brussels",24/09/2019
Jens GEIER,96833,S&D,Germany,European Institute of Innovation & Technology (EIT),[''],['ITRE'],Member,Exchange of views on the EIT and innovation,"European Parliament, Brussels",24/09/2019
Jens GEIER,96833,S&D,Germany,European Commission,"['Establishing the European Cybersecurity Industrial, Technology and Research Competence Centre and the Network of National Coordination Centres']",['ITRE'],Shadow rapporteur,Exchange on ongoing negotiations on the Cybersecurity Competence Centre,"European Parliament, Brussels",24/09/2019
Jens GEIER,96833,S&D,Germany,Salzgitter AG,[''],['ITRE'],Member,Exchange of views on the current situation of the European steel industry,"European Parliament, Brussels",23/09/2019
Jens GEIER,96833,S&D,Germany,Verband der öffentlichen Wirtschaft und Gemeinwirtschaft Österreichs (VÖWG),[''],['ITRE'],Member,"Exchange of Views on industry, energy and research policy","European Parliament, Brussels",12/09/2019
Jens GEIER,96833,S&D,Germany,European Alliance to Save Energy,[''],['ITRE'],Member,Exchange of views on energy policy,"European Parliament, Brussels",11/09/2019
Jens GEIER,96833,S&D,Germany,EDEKA,,,Member,General exchange of views on retail policy,"European Parliament, Brussels",10/09/2019
Jens GEIER,96833,S&D,Germany,Regionalverband Ruhr,,,Member,Exchange about future collaboration between RVR and local MEPs,"European Parliament, Brussels",04/09/2019
Jens GEIER,96833,S&D,Germany,Deutsche Telekom,[''],['ITRE'],Member,Exchange of views on telecommunication policies,European Parliament (Brussels),04/09/2019
Jens GEIER,96833,S&D,Germany,Deutsche Stiftung Weltbevölkerung,[''],['ITRE'],Member,General exchange about research policy and sustainable development,"European Parliament, Brussels",04/09/2019
